depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
22.55,334.457,-399.7,-0.59,18,330.564,-436.6,0.23,340.54,271.11
23.1,346.638,-396,0.03,19,353.223,-430,1.33,346.58,275.07
23.65,359.39,-400.2,-0.67,20,375.882,-435.9,0.35,359.01,279.36
24.2,372.141,-401.6,-0.9,21,400.344,-436.9,0.18,361.82,281.11
24.75,384.893,-405.4,-1.53,22,424.806,-438.5,-0.08,376.99,282.57
25.3,397.841,-399,-0.47,23,451.826,-444.5,-1.08,390.14,281.83
25.85,410.79,-396.9,-0.12,24,478.845,-446.4,-1.39,400.35,283.53
26.4,423.739,-394.9,0.21,25,508.957,-447.7,-1.61,420.32,283.95
26.95,436.394,-406.6,-1.73,26,539.069,-443.4,-0.9,448.47,283.12
27.5,449.048,-395.2,0.16,27,568.212,-441.6,-0.6,480.6,280.31
28.05,461.703,-395.3,0.14,28,597.354,-438.1,-0.02,500.84,282.23
28.6,474.536,-399.5,-0.56,29,625.775,-439.1,-0.18,521.2,279.73
29.15,487.369,-401,-0.8,30,654.195,-445.4,-1.23,539.14,279.7
29.7,500.202,-393.6,0.42,31,686.693,-447.3,-1.54,559.67,280.91
30.25,513.421,-410.4,-2.36,32,719.191,-443.1,-0.85,601.15,278.36
30.8,526.64,-401.3,-0.85,33,750.081,-438.6,-0.1,619.88,284.07
31.35,539.86,-398.3,-0.36,34,780.971,-439,-0.17,642.55,281.58
31.9,553.081,-388.5,1.26,35,812.605,-442.7,-0.78,671.8,278.43
32.45,566.301,-391.9,0.7,36,844.24,-442.7,-0.78,690.49,282.2
33,579.522,-400.8,-0.77,37,876.591,-439,-0.17,698.73,282.41
33.55,592.397,-387.7,1.4,38,908.941,-439.5,-0.25,739.05,283.69
34.1,605.271,-401.4,-0.87,39,941.434,-439.7,-0.28,750.19,284.54
34.65,618.146,-401,-0.81,40,973.927,-442.9,-0.81,784.02,283.97
35.2,630.698,-387.3,1.46,41,1007.49,-438.3,-0.05,803.71,284.51
35.75,643.25,-390.2,0.98,42,1041.06,-436.4,0.27,834.39,282.84
36.3,655.803,-394.5,0.27,43,1074.78,-443,-0.83,850.59,283.09
36.85,669.45,-401.9,-0.96,44,1108.51,-441.9,-0.65,879.8,282.84
37.4,683.097,-399.8,-0.61,45,1143.32,-439.6,-0.27,900.82,280.97
37.95,696.744,-399.9,-0.63,46,1178.13,-441.9,-0.65,909.92,280.92
38.5,711.25,-399.1,-0.49,47,1215.28,-446.9,-1.48,930.73,280.06
39.05,725.755,-401.9,-0.96,48,1252.43,-447.9,-1.64,932.42,279.8
39.6,740.26,-404.8,-1.44,49,1289.98,-440.4,-0.4,967.35,278.74
40.15,754.86,-401.6,-0.91,50,1327.52,-436,0.33,992.35,277.41
40.7,769.46,-396.7,-0.1,51,1362.18,-438.3,-0.05,1035.87,280.11
41.25,784.06,-397.1,-0.16,52,1396.85,-438.8,-0.13,1074.59,279.42
41.8,797.64,-394.2,0.32,53,1432.64,-438.2,-0.03,1127.67,278.62
42.35,811.219,-395.9,0.03,54,1468.44,-440.8,-0.46,1156.9,279.72
42.9,824.798,-392.7,0.56,55,1506.69,-444,-1,1187.7,279.29
