depth;age;dca1.chiro
1;-52;0.2816
5;-23;0.055
15;50;0
25;123;0.1956
35;196;0.113
45;270;0.1591
50;307;0.1459
55;344;0.2605
65;420;0.404
75;496;0.1829
85;573;0.3041
95;652;0.485
105;732;0.3409
115;814;0.1629
125;897;0.3
135;982;0.1135
145;1070;0.2874
155;1159;0.5305
165;1252;0.1853
175;1347;0.4637
185;1445;0.3139
195;1546;0.1347
205;1651;0.3993
215;1759;0.3185
225;1870;0.3372
235;1985;0.33
245;2102;0.1326
255;2222;0.1467
265;2343;0.2743
275;2467;0.1489
285;2591;0.4674
295;2717;0.2072
305;2844;0.2848
315;2972;0.3643
325;3101;0.2288
335;3231;0.4148
345;3363;0.5158
355;3498;0.3932
365;3624;0.4097
375;3765;0.2943
385;3908;0.5523
395;4038;0.2644
405;4184;0.3139
415;4334;0.4444
425;4474;0.3837
435;4635;0.3308
445;4787;0.3904
455;4965;0.3363
465;5147;0.3454
475;5342;0.3001
485;5549;0.3592
495;5772;0.2875
505;6011;0.386
515;6268;0.1823
525;6544;0.1838
535;6841;0.3146
545;7156;0.4028
555;7483;0.6231
565;7815;0.4929
575;8147;0.3105
585;8471;0.6045
595;8781;0.7145
605;9072;0.4233
615;9343;0.851
625;9598;0.7077
635;9841;0.6549
645;10077;0.747
655;10308;0.556
665;10540;0.5285
675;10777;0.7373
685;11022;1.0339
695;11280;0.4129
705;11554;0.4562
715;11840;0.8158
725;12133;1.6277
727;12191;1.4827
729;12250;1.5574
731;12309;1.4752
733;12367;1.356
735;12425;1.6227
737;12483;1.6924
739;12540;1.7137
741;12598;1.9016
743;12654;1.9992
745;12711;1.8024
751;12876;1.7408
753;12930;1.8812
755;12984;1.8692
765;13237;2.0684
775;13466;1.8605
785;13662;2.2117
795;13828;2.0963
805;13967;1.7812
815;14085;1.9471
825;14188;2.0143
835;14280;1.8447
845;14364;1.8822
857.5;14454;2.2665
865;14508;1.591
875;14571;1.5944
885;14629;1.5622
895;14683;1.8922
905;14734;1.8207
915;14783;1.603
927.5;14840;1.9496
935;14878;1.8029
945;14925;1.7984
