depth ,age ,TWARM
12,273,10.5
14,329,8.6
17,413,7.4
20,497,7.7
22,554,7.5
32,840,8.5
42,1135,8.3
47,1286,8.6
57,1598,8.7
67,1924,8.5
75,2198,8.6
77.4,2268,9.1
79.7,2339,8.9
80,2375,9.9
90,2744,9.2
100,3127,9.7
110,3519,9.3
120,3916,8.5
130,4311,9.3
132.5,4390,10
135,4507,11
138.5,4623,11
140,4701,10
145,4891,10.2
148.5,5004,10
150,5079,10.2
151.5,5116,9
155,5262,9.6
194.8,6567,8.5
195.7,6596,8.4
196.8,6624,8.5
205.2,6846,8.7
216.8,7161,8.8
228,7434,9.1
238,7672,8.2
248,7906,8
249,7929,7.9
251,7975,8.2
258,8137,8.5
263,8253,8.4
276.9,8581,7.3
286.7,8824,7.5
296.5,9077,8.3
298.8,9129,8.7
300.4,9155,9.6
301.4,9182,10.1
302.7,9235,10.6
306.3,9316,10.3
309.1,9399,9.5
316.1,9601,8.1
321,9754,8
325.9,9915,8.9
330.8,10086,8.3
335.7,10267,8.1
345.5,10668,8.9
349.3,10798,9.1
351.6,10937,8.7
355.3,11084,8.4
365.1,11560,9.2
380,12456,10.1
385,12781,10.2
388.8,12983,10.5
390,13119,10.5
391.7,13258,10.1
395,13469,10.5
400,13755,10.1
405,14120,10.1
410,14491,10.2
415,14865,10.1
419,15091,9.9
