depth ;age;TWARM
1;29.8;9.9
2;59.6;9.4
12;357.7;10.5
14;417.3;8.6
17;506.8;7.4
20;596.2;7.7
22;655.8;7.5
32;953.9;8.5
42;1252;8.3
47;1401;8.6
57;1699.1;8.7
67;1997.2;8.5
75;2235.7;8.6
77.4;2307.2;9.1
79.7;2386.2;8.9
80;2397.7;9.9
90;2782.7;9.2
100;3167.6;9.7
110;3552.5;9.3
120;3937.5;8.5
130;4322.4;9.3
132.5;4418.6;10
135;4514.8;11
138.5;4649.6;11
140;4707.3;10
145;4899.8;10.2
148.5;5034.5;10
150;5092.2;10.2
151.5;5150;9
155;5268.7;9.6
194.8;6612.2;8.5
195.7;6635.3;8.4
196.8;6661.3;8.5
205.2;6867.9;8.7
216.8;7151.6;8.8
228;7426.1;9.1
238;7671.3;8.2
248;7916.4;8
249;7940.9;7.9
251;7990;8.2
258;8169;8.5
263;8296.8;8.4
276.9;8653.2;7.3
286.7;8903.6;7.5
296.5;9154.1;8.3
298.8;9212.1;8.7
300.4;9260.2;9.6
301.4;9294.8;10.1
302.7;9337.6;10.6
306.3;9459.7;10.3
309.1;9553.1;9.5
316.1;9789.5;8.1
321;9954.4;8
325.9;10119.3;8.9
330.8;10284.2;8.3
335.7;10449.1;8.1
345.5;10778.9;8.9
349.3;10906;9.1
351.6;11030.1;8.7
355.3;11227.7;8.4
365.1;11754.6;9.2
380;12556.4;10.1
385;12825.6;10.2
388.8;13029.3;10.5
390;13111.3;10.5
391.7;13229.1;10.1
395;13461.5;10.5
400;13811.6;10.1
405;14161.7;10.1
410;14511.9;10.2
415;14862;10.1
419;15139.2;9.9
