depth ;age ;LOI
5;-23;24.4
10;14;22.1
15;50;21.1
20;87;17.8
25;124;21.9
30;160;20.0
35;197;22.0
40;234;22.9
45;271;21.0
50;308;12.2
52.5;327;21.9
55;346;25.0
60;383;28.1
65;421;22.3
70;459;19.9
75;497;24.5
80;536;20.1
85;575;20.9
90;614;19.1
95;653;23.8
100;693;19.7
105;733;24.8
110;774;20.0
115;814;19.7
120;856;20.3
125;897;22.0
130;939;19.9
135;982;22.1
140;1025;19.9
145;1069;17.5
150;1113;27.0
155;1158;27.7
160;1203;19.5
165;1249;25.8
170;1296;25.9
175;1344;22.7
180;1392;18.2
185;1441;20.8
190;1491;21.6
195;1542;18.7
200;1594;20.2
205;1646;23.6
210;1700;23.2
215;1754;24.8
220;1810;19.1
225;1866;18.9
230;1923;28.0
235;1981;20.4
240;2040;16.6
245;2099;22.7
255;2221;20.4
260;2282;23.4
265;2345;23.2
270;2408;25.3
275;2471;20.7
280;2535;23.7
285;2600;23.0
290;2665;22.7
295;2731;27.8
300;2797;22.3
305;2863;21.5
310;2930;21.1
315;2997;27.8
320;3064;16.1
325;3131;22.3
330;3199;19.1
335;3266;24.6
340;3333;20.7
345;3401;27.0
355;3535;24.4
360;3601;23.7
365;3668;22.8
370;3734;17.1
375;3799;27.1
380;3864;20.1
385;3929;23.0
390;3993;22.3
395;4056;21.8
400;4119;21.3
405;4181;21.8
410;4244;22.3
415;4306;29.5
420;4370;25.4
425;4435;25.6
430;4501;19.6
435;4568;25.8
440;4638;21.7
445;4710;21.6
455;4862;24.4
460;4943;20.2
465;5028;19.9
470;5116;18.8
475;5209;22.4
480;5306;22.3
485;5408;26.2
490;5515;20.0
495;5628;21.0
500;5747;17.4
505;5872;20.1
510;6003;17.6
515;6141;27.1
520;6286;29.7
525;6439;27.8
530;6599;18.7
535;6768;20.9
540;6943;19.6
545;7123;17.3
555;7495;23.8
560;7684;17.2
570;8061;25.2
575;8246;21.6
580;8427;24.2
585;8603;21.9
590;8772;20.1
595;8933;18.0
600;9085;19.8
605;9227;28.3
615;9485;20.7
620;9603;28.6
625;9715;19.8
630;9822;25.2
635;9924;19.4
640;10024;15.4
645;10121;3.2
655;10313;7.6
660;10411;3.2
665;10510;2.7
670;10612;5.0
675;10717;5.9
680;10828;1.1
685;10945;4.5
690;11069;1.3
695;11201;2.0
700;11341;3.2
705;11490;8.7
710;11646;6.6
715;11807;6.4
720;11972;4.3
725;12140;4.0
730;12309;5.1
735;12477;3.5
740;12643;2.3
745;12806;1.8
755;13116;11.0
760;13260;8.8
765;13395;9.2
770;13519;9.9
775;13630;10.2
780;13728;8.2
785;13812;11.4
790;13882;11.0
795;13941;8.9
800;13990;8.2
805;14031;8.7
810;14066;8.7
815;14096;9.3
820;14123;9.1
825;14149;9.6
830;14175;10.3
835;14202;12.3
840;14229;9.7
845;14257;9.0
855;14314;7.1
860;14343;10.3
865;14373;11.1
870;14403;8.3
875;14433;9.2
880;14464;10.6
885;14495;10.0
890;14526;12.3
895;14557;10.6
900;14589;10.3
905;14621;10.8
910;14653;8.7
915;14685;11.4
920;14717;9.1
925;14749;11.0
930;14781;9.5
935;14813;4.3
940;14845;9.9
945;14877;9.5
955;14942;3.9
965;15006;4.0
970;15038;3.9
975;15070;2.9
980;15102;4.3
985;15134;3.8
990;15166;4.7
995;15198;4.6
1000;15231;4.6
1005;15263;4.0
1010;15295;1.6
1015;15327;5.2
1020;15359;3.5
1025;15391;4.4
1030;15423;3.4
1035;15455;3.1
