Age;SST
7.79;14.49
8.47;14.74
8.99;14.95
9.39;15.37
9.77;15.37
10.15;15.39
10.53;14.9
10.92;15.62
11.32;14.85
11.64;14.89
11.71;14.95
12.1;15.42
12.44;14.06
12.75;13.28
13.05;13.22
13.36;13.15
13.69;12.79
14.24;12.85
14.82;13.01
15.36;12.6
15.91;11.98
16.45;11.97
16.98;12.14
17.43;12.65
17.78;11.5
18.16;10.93
18.47;10.33
18.53;9.99
18.9;9.79
19.27;9.35
19.64;9.44
19.7;9.51
20;9.66
20.36;9.91
20.71;10.24
21.08;10.04
21.43;9.83
21.65;9.31
21.69;9.44
21.93;9.66
22.13;8.4
22.17;8.69
22.37;9.53
22.42;9.95
22.46;9.83
22.73;9.06
23.07;9.4
23.4;10.5
23.67;10.83
23.73;10.98
24.03;10.91
24.09;10.07
24.47;9.39
24.78;8.81
24.84;9.3
25.21;10.12
25.59;10.19
25.98;8.52
26.42;9.31
26.51;9.1
26.61;9.64
26.99;9.77
27.08;9.5
27.65;9.81
28.22;11.27
28.77;10.69
29.06;10.48
29.33;10.47
29.51;10.84
29.63;10.18
29.75;10.71
29.89;9.86
30.04;10.71
30.11;10.57
30.18;10.32
30.43;10.76
30.54;9.55
31.01;9.61
31.37;8.7
31.44;8.56
31.86;10.05
32.29;10.48
32.99;10.29
33.74;10.45
34.65;9.95
35.36;9.64
35.96;9.97
36.08;10.21
36.69;10.21
37.24;10.84
37.8;9.95
38.36;10.01
38.96;10.3
39.3;11.17
39.57;10.59
39.62;10.48
39.87;10.46
39.92;11.07
40.06;10.62
40.14;9.42
40.18;9.5
40.3;8.98
40.42;9.47
40.68;9.28
40.84;9.47
40.88;9.2
40.92;9.2
41;  8.56
41.21;10.19
41.46;9.33
41.51;9.6
41.86;10.87
41.91;9.98
41.96;9.56
42.22;10.63
42.5;9.43
42.52;9.52
42.67;9.27
42.81;9.13
42.82;9.51
42.97;10.01
43.13;10.13
43.43;10.98
43.73;10.17
43.88;10.21
44.01;8.72
44.17;8
44.32;8.27
44.47;8.45
44.61;8.36
44.76;8.53
44.91;9.21
45.04;10.31
45.19;10.31
45.34;10.64
45.5;11.11
45.63;11.59
45.78;11.55
45.93;10.16
46.08;9.85
46.23;9.48
46.38;9.47
46.51;10.56
46.66;11.11
46.96;11.23
47.25;9.91
47.55;9.29
47.85;9.85
48.13;9.3
48.43;9
48.72;10.9
49.01;10.5
49.31;11.15
49.6;11.1
49.9;10.38
