depth,age,d13C,d18O
2.5,128.6,-7.51,-5.73
2.5,128.6,-7.6329,-5.5918
7.5,385.8,-6.31,-5.78
12.5,643,-4.05,-5.95
17.5,900.2,-4.94,-5.99
22.5,1157.4,-5.19,-5.86
27.5,1414.6,-5.09,-5.93
32.5,1671.8,-5.05,-5.8
37.5,1929,-5.15,-5.94
42.5,2186.2,-5.78,-5.99
47.5,2443.4,-6.08,-5.96
52.5,2700.6,-6.22,-6
57.5,2957.8,-4.73,-5.87
62.5,3215,-6.03,-5.68
67.5,3472.2,-6.45,-5.73
72.5,3729.4,-6.46,-5.78
77.5,3986.6,-6.12,-5.62
82.5,4243.8,-6.26,-5.88
87.5,4501,-6.16,-5.86
92.5,4758.2,-5.8247,-5.9706
97.5,5015.4,-6.11,-5.87
102.5,5272.6,-5.63,-6
107.5,5448.3,-5.56,-5.73
112.5,5542.5,-5.37,-5.92
117.5,5636.7,-5.37,-5.65
122.5,5730.9,-5.63,-5.94
122.5,5730.9,-5.6323,-5.8791
122.5,5730.9,-5.5921,-5.8696
122.5,5730.9,-5.661,-5.9157
122.5,5730.9,-5.6177,-5.9797
127.5,5825.1,-6.8,-5.94
132.5,5919.3,-6.57,-5.8
137.5,6013.5,-6.99,-5.66
142.5,6107.7,-6.68,-5.88
147.5,6201.9,-7.16,-5.75
152.5,6296.1,-6.53,-5.4
157.5,6390.3,-6.91,-5.83
162.5,6484.5,-7.47,-5.97
167.5,6578.7,-7.08,-5.62
172.5,6672.9,-6.86,-5.39
177.5,6767.1,-6.89,-5.51
182.5,6861.3,-6.88,-5.96
187.5,6955.5,-7.19,-5.98
192.5,7049.7,-6.85,-5.73
197.5,7143.9,-6.75,-5.61
202.5,7238.1,-6.77,-5.49
207.5,7332.3,-6.59,-5.69
212.5,7426.5,-5.47,-5.51
217.5,7520.7,-6.79,-5.69
222.5,7614.9,-6.96,-5.63
227.5,7709.1,-6.8,-5.54
232.5,7803.3,-6.3,-5.24
237.5,7897.5,-6.04,-5.1
242.5,7991.7,-7.5683,-5.7307
247.5,8085.9,-6.3673,-5.3692
252.5,8180.1,-6.7137,-5.1786
257.5,8274.3,-6.4133,-5.2371
262.5,8368.5,-6.0169,-5.3725
267.5,8462.7,-6.9025,-5.2642
272.5,8556.9,-6.85,-5.21
277.5,8651.1,-5.3616,-5.2256
282.5,8745.3,-4.8917,-5.1165
287.5,8839.5,-4.52,-5
292.5,8933.7,-5.9497,-5.1137
297.5,9034.275,-4.9515,-5.2946
302.5,9187.725,-5.2513,-5.064
307.5,9341.175,-4.9632,-5.0338
312.5,9494.625,-5.8132,-5.2595
317.5,9648.075,-5.1716,-5.0599
322.5,9801.525,-3.8288,-4.9305
327.5,9954.975,-4.9808,-5.168
332.5,10108.425,-6.2409,-5.1633
337.5,10261.875,-5.8252,-5.1953
342.5,10415.325,-7.1752,-5.1394
347.5,10568.775,-7.16,-5.28
352.5,10722.225,-7.31,-5.51
357.5,10875.675,-7.18,-5.28
362.5,11029.125,-7.06,-5.37
367.5,11182.575,-7.05,-5.46
372.5,11336.025,-6.69,-5.37
377.5,11491.65,-6.25,-5.46
382.5,11651.95,-5.7123,-5.2459
387.5,11812.25,-5.6294,-5.2215
392.5,11972.55,-6.1129,-5.0869
397.5,12132.85,-6.7359,-5.1263
402.5,12293.15,-6.748,-5.2404
407.5,12453.45,-6.2914,-4.9803
412.5,12613.75,-5.9618,-5.1113
417.5,12774.05,-5.3583,-5.0743
422.5,12934.35,-6.0583,-5.0954
427.5,13094.65,-6.8586,-5.084
432.5,13254.95,-6.7817,-5.1982
435.5,13351.13,-7.4826,-5.1425
436.5,13383.19,-6.3661,-5.2111
437.5,13415.25,-5.9558,-5.2172
438.5,13447.31,-5.9026,-5.1916
439.5,13479.37,-5.6195,-5.078
440.5,13511.43,-5.8573,-5.2056
441.5,13543.49,-6.2161,-5.2525
443.5,13607.61,-5.9788,-5.1039
444.5,13639.67,-5.925,-5.0201
445.5,13671.73,-6.724,-5.4468
446.5,13703.79,-6.136,-5.2772
447.5,13735.85,-6.3013,-5.0543
448.5,13767.91,-6.0475,-4.8387
448.5,13767.91,-6.0799,-4.818
451.5,13879.5,-7.4169,-5.6605
452.5,13938.5,-7.0268,-5.4813
453.5,13997.5,-7.2323,-5.3945
454.5,14056.5,-7.5361,-5.281
455.5,14115.5,-7.8244,-5.2985
456.5,14174.5,-7.8152,-5.405
457.5,14233.5,-7.6887,-5.4023
458.5,14292.5,-7.5598,-5.3613
459.5,14351.5,-7.3268,-5.241
460.5,14410.5,-6.1741,-5.2049
461.5,14469.5,-6.2321,-5.4545
462.5,14522,-5.7652,-5.3671
463.5,14572,-4.534,-5.3081
464.5,14622,-5.4581,-5.3693
466,14697,-5.6988,-5.2192
467.5,14772,-5.9877,-5.1727
468.5,14822,-3.6916,-5.1591
468.5,14822,-3.7028,-5.1914
469.5,14872,-4.6221,-5.286
471.5,14972,-2.8643,-5.2613
472.5,15022,-5.0978,-5.2071
473.5,15072,-5.5306,-5.2063
473.5,15072,-5.5504,-5.2362
