age,nzw_13C ,nzw_18O
333,-7.39,-2.87
345,-8.27,-3.12
356,-7.89,-3.17
362,-8.76,-3.02
373,-8.96,-3.56
385,-8.67,-3.62
390,-8.39,-3.43
402,-9.38,-3.55
413,-9.38,-3.59
419,-8.64,-3.48
431,-6.85,-3.04
441,-7.75,-3.2
442,-8.09,-3.32
457,-6.7,-2.99
473,-8.18,-3.41
483,-7.8,-3.29
493,-6.38,-3.2
498,-7.02,-3.19
508,-7.98,-3.13
518,-7.21,-3.21
528,-7.29,-3.13
533,-8.01,-3.06
538,-7.14,-2.99
544,-7.05,-3.11
549,-6.7,-3.09
554,-6.86,-2.99
559,-7.46,-2.9
569,-7.09,-3.06
569,-8.03,-3.34
579,-7.61,-2.95
584,-8.52,-3.47
589,-7.24,-3.39
599,-7.35,-3.29
604,-6.49,-3.19
609,-6.95,-3.2
620,-6.66,-3.14
625,-7.91,-3.35
630,-7.27,-3.21
635,-6.03,-3.04
640,-6.89,-3.11
645,-5.99,-3.23
655,-6.9,-3.48
660,-6.45,-3.19
675,-6.71,-3.14
685,-7.42,-3.54
696,-7.27,-3.16
701,-6.78,-3
706,-7.16,-3.1
710,-7.95,-3.22
711,-8.02,-3.24
716,-7.19,-3.07
726,-6.74,-3.08
731,-7.05,-3.13
736,-7.32,-3.16
746,-7.95,-3.2
751,-6.35,-3.26
762,-8.46,-3.45
772,-7.75,-3.33
777,-7.06,-3.22
787,-7.94,-3.44
802,-6.76,-3.28
825,-5.58,-3.11
862,-7.88,-3.24
883,-8.29,-3.44
941,-7.43,-3.09
998,-7.02,-3.14
1025,-7.77,-3.28
1056,-8.25,-3.58
1096,-7.74,-3.3
1114,-7.78,-3.34
1171,-6.32,-3.15
1172,-7.72,-3.31
1229,-7.67,-3.51
1287,-6.71,-3.32
1344,-7.76,-3.21
1368,-7.71,-3.31
1402,-7.04,-3.16
1494,-7.14,-3.48
1571,-7.73,-3.37
1587,-7.36,-3.33
1690,-6.08,-3.17
1748,-7.37,-3.46
1782,-8.65,-3.75
1782,-7.83,-3.32
1848,-7.79,-3.5
1915,-7.14,-3.51
1982,-7.29,-3.45
1999,-7.73,-3.35
2049,-7.31,-3.39
2125,-7.25,-3.39
2191,-6.7,-3.09
2223,-7.52,-3.13
2267,-5.88,-3.01
2334,-7.97,-3.36
2401,-6.82,-3.24
2452,-7.45,-3.41
2468,-7.37,-3.18
2543,-7.47,-3.43
2610,-7.87,-3.28
2677,-6.89,-3.34
2687,-7.65,-3.35
2752,-6.63,-3.16
2819,-6.1,-3.09
2869,-6.29,-3.19
2889,-5.15,-3.01
2926,-7.47,-3.53
2980,-6.02,-3.22
3060,-6.71,-3.18
3150,-4.32,-3.04
3170,-6.08,-3.06
3231,-7,-3.38
3311,-4.61,-2.93
3381,-4.88,-2.85
3418,-6.06,-3.04
3482,-5.54,-3.1
3562,-7.41,-3.34
3568,-6.41,-3.24
3642,-7.63,-3.35
