depth;age;influx
49.5;303;7.940780619
50.5;310;10.61827957
51.5;318;14.36241611
52.5;325;10.58981233
53.5;333;16.89008043
54.5;340;25.30120482
55.5;348;10.56149733
56.5;355;3.738317757
57.5;363;2.330533333
58.5;370;2.754266667
59.5;378;1.753129161
60.5;385;2.233776596
61.5;393;2.954316069
62.5;400;3.070822281
63.5;408;3.908609272
64.5;415;4.323809524
65.5;423;4.318097754
66.5;430;4.941292876
67.5;438;3.828194993
68.5;446;2.419342105
69.5;453;6.801051248
70.5;461;7.864566929
71.5;468;5.62293578
72.5;476;6.090968586
73.5;484;12.78915033
74.5;491;8.505091384
75.5;499;1.568578879
76.5;507;0.827604167
77.5;514;0.944603381
78.5;522;1.503506494
79.5;530;1.766536965
80.5;537;3.230271669
81.5;545;3.255426357
82.5;553;2.050322581
83.5;561;3.744329897
84.5;568;3.418146718
85.5;576;4.167008986
86.5;584;10.6224359
87.5;592;7.324455826
88.5;600;2.322250639
89.5;607;1.997831633
90.5;615;4.250828025
91.5;623;2.223791349
92.5;631;1.958883249
93.5;639;4.833460076
94.5;647;3.448101266
95.5;655;4.385227273
96.5;663;2.604918033
97.5;671;2.198616352
98.5;678;1.169221106
99.5;686;3.104516939
100.5;694;1.022778473
101.5;702;3.149625
102.5;710;1.500124688
103.5;718;0.367496887
104.5;726;2.876273292
105.5;735;2.844540943
106.5;743;2.472277228
107.5;751;1.571322621
108.5;759;1.903329223
109.5;767;3.54600246
110.5;775;1.533783784
111.5;783;2.698406863
112.5;791;3.639779682
113.5;800;2.078754579
114.5;808;4.783313033
115.5;816;5.661192214
116.5;824;6.529004854
117.5;832;2.116101695
118.5;841;2.580169287
119.5;849;6.380096502
120.5;857;6.583273165
121.5;866;2.043817527
122.5;874;2.555449102
123.5;882;2.986842105
124.5;891;2.925536993
125.5;899;3.215833333
126.5;907;3.828266033
127.5;916;3.33507109
128.5;924;6.412884161
129.5;933;7.120518868
130.5;941;3.151294118
131.5;950;5.24870892
132.5;958;7.575526932
133.5;967;4.110397196
134.5;975;6.508391608
135.5;984;15.36209302
136.5;993;9.164269142
137.5;1001;2.890046296
138.5;1010;4.560969977
139.5;1018;2.144470046
140.5;1027;2.189207807
141.5;1036;1.560137457
142.5;1045;1.011771429
143.5;1053;2.225997719
144.5;1062;3.895113636
145.5;1071;3.500226757
146.5;1080;4.878959276
147.5;1089;2.997629797
148.5;1097;4.468503937
149.5;1106;13.70662177
150.5;1115;3.884787472
151.5;1124;3.439732143
152.5;1133;2.714922049
