Eucalyptus sp.,A.laxifolia,A.cupressoides,D.archeri,M.tetragona,P.hookeriana,N.cunninghamii,E.serpyllifolia,R.scoparia,B.rubioides,M.dealbata,L.juniperina,O.acicularis,O.revoluta,R.sprengeloides,C.nitida,S.incarnata,T.cunninghamii,Cyathodes,L.lanigerum,L.rupestre,Andreaea sp.,B.mossmaniana,B.pendula/affinis,B.rutabulum/paradoxum,Bryaceae,D.microcarpum,Dicranoloma sp.,Dicranaceae,D.cylindricarpum/difficile,Fissidens sp.,Entosthodon sp.,Grimmiaceae,H.chrysogaster/cupressiforme,H.comosum,H.didictyon,Lembophyllaceae,Weymouthia sp.,L.inclinans,Campylopus sp.,T.pumilum,L.gaudichaudii,Orthotrichaceae,P.acicularis,H.alaris ,R.purpurascens,R.novaehollandiae,Pyrrhobryum sp.,B.robusta,Sphagnum sp.,T.furfurosa,Leptoscyphus sp.
2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11,3,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,7,0,0,11,1,4,2,0,1,0,0,0,0,2,0,0,0,4,0,1,2,0,2,2,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,10,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,0
8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,2,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0
25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,10,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0
3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,7,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,12,6,3,4,3,0,0,46,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,10,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,1,60,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,9,2,0
