depth,age
55,344
65,420
75,496
85,573
95,652
105,732
115,814
125,897
135,982
145,1070
155,1159
165,1252
175,1347
185,1445
195,1546
205,1651
215,1759
225,1870
235,1985
245,2102
255,2222
265,2343
275,2467
285,2591
295,2717
305,2844
315,2972
325,3101
335,3231
345,3363
355,3498
365,3638
376,3779
386,3922
397,4067
407,4214
417,4365
428,4521
438,4685
447,4822
455,4965
465,5147
475,5342
485,5549
495,5772
505,6011
515,6268
525,6544
535,6841
545,7156
555,7483
565,7815
575,8147
585,8471
595,8781
605,9072
615,9343
625,9598
635,9841
650,10193
665,10540
680,10900
715,11840
725,12133
735,12425
745,12711
760,13111
775,13466
790,13745
805,13967
815,14085
825,14188
835,14280
850,14402
870,14540
890,14656
905,14734
915,14783
925,14831
940,14902
