depth	min95%	max95%	best	acc.rate
1	-54	-50	-52	0.137741046831956
2	-48	-42	-45	0.137741046831956
3	-41	-34	-37	0.137741046831956
4	-35	-25	-30	0.137741046831956
5	-28	-17	-23	0.137741046831956
6	-22	-9	-16	0.137741046831956
7	-15	-1	-8	0.137741046831956
8	-9	7	-1	0.137551581843191
9	-2	15	6	0.137551581843191
10	4	23	14	0.137551581843191
11	10	31	21	0.137551581843191
12	17	39	28	0.137551581843191
13	23	47	35	0.137551581843191
14	30	56	43	0.137362637362637
15	36	64	50	0.137362637362637
16	42	72	57	0.137362637362637
17	49	80	64	0.137362637362637
18	55	88	72	0.137174211248285
19	62	96	79	0.137174211248285
20	68	104	86	0.137174211248285
21	75	113	94	0.137174211248285
22	81	121	101	0.136986301369863
23	87	129	108	0.136986301369863
24	94	137	115	0.136798905608755
25	100	145	123	0.136798905608755
26	107	153	130	0.136798905608755
27	113	162	137	0.136612021857923
28	120	170	145	0.136612021857923
29	126	178	152	0.136425648021828
30	133	186	159	0.136425648021828
31	139	194	167	0.136425648021828
32	146	202	174	0.136239782016349
33	152	210	181	0.136239782016349
34	159	219	189	0.136054421768707
35	165	227	196	0.136054421768707
36	172	235	203	0.135869565217391
37	179	243	211	0.135685210312076
38	185	251	218	0.135685210312076
39	192	259	226	0.13550135501355
40	198	267	233	0.13550135501355
41	205	275	240	0.13531799729364
42	212	284	248	0.13531799729364
43	218	292	255	0.135135135135135
44	225	300	262	0.134952766531714
45	232	308	270	0.134952766531714
46	239	316	277	0.134770889487871
47	245	324	285	0.134589502018843
48	252	332	292	0.134408602150538
49	259	340	300	0.134408602150538
50	266	348	307	0.134228187919463
51	272	357	314	0.134048257372654
52	279	365	322	0.133868808567604
53	286	373	329	0.133868808567604
54	293	381	337	0.133689839572192
55	300	389	344	0.133511348464619
56	306	397	352	0.133333333333333
57	313	405	359	0.133155792276964
58	320	413	367	0.132978723404255
59	327	421	374	0.132978723404255
60	334	429	382	0.132802124833997
61	341	438	389	0.13262599469496
62	348	446	397	0.132450331125828
63	355	454	404	0.132275132275132
64	362	462	412	0.132100396301189
65	369	470	420	0.131926121372032
66	376	478	427	0.131752305665349
67	384	486	435	0.131578947368421
68	391	494	442	0.131406044678055
69	398	502	450	0.131233595800525
70	405	510	458	0.131061598951507
71	412	518	465	0.130890052356021
72	420	526	473	0.130718954248366
73	427	534	481	0.130548302872063
74	434	542	488	0.130378096479791
75	441	550	496	0.130039011703511
76	449	558	504	0.12987012987013
77	456	566	511	0.12970168612192
78	463	575	519	0.129533678756477
79	471	583	527	0.129366106080207
80	478	591	534	0.129198966408269
81	486	599	542	0.128865979381443
82	493	607	550	0.128700128700129
83	501	615	558	0.12853470437018
84	508	623	565	0.128369704749679
85	516	631	573	0.128040973111396
86	523	639	581	0.127877237851662
87	531	647	589	0.127713920817369
88	538	655	597	0.127551020408163
89	546	663	605	0.127226463104326
90	554	671	612	0.127064803049555
91	562	679	620	0.126903553299492
92	569	687	628	0.126582278481013
93	577	695	636	0.126422250316056
94	585	703	644	0.126103404791929
95	593	711	652	0.125944584382872
96	601	719	660	0.125628140703518
97	608	727	668	0.125470514429109
98	616	735	676	0.12531328320802
99	624	743	684	0.125
100	632	751	692	0.124843945068664
101	640	759	700	0.12453300124533
102	648	767	708	0.124378109452736
103	656	775	716	0.124069478908189
104	664	783	724	0.123762376237624
105	672	791	732	0.123609394313968
106	680	799	740	0.123304562268804
107	688	807	748	0.123152709359606
108	697	815	756	0.122850122850123
109	705	824	764	0.122549019607843
110	713	832	773	0.122399020807834
111	721	840	781	0.122100122100122
112	729	848	789	0.121951219512195
113	737	856	797	0.121654501216545
114	746	864	805	0.121359223300971
115	754	872	814	0.121065375302663
116	762	880	822	0.120918984280532
117	771	889	830	0.120627261761158
118	779	897	838	0.120336943441637
119	787	905	847	0.120048019207683
120	795	913	855	0.119904076738609
121	804	922	863	0.119617224880383
122	812	930	872	0.119331742243437
123	821	939	880	0.119047619047619
124	829	947	889	0.118764845605701
125	838	956	897	0.118483412322275
126	846	964	905	0.118203309692671
127	855	973	914	0.117924528301887
128	863	981	922	0.117647058823529
129	872	989	931	0.117370892018779
130	880	998	939	0.117096018735363
131	889	1006	948	0.116822429906542
132	898	1015	956	0.116550116550117
133	906	1024	965	0.116279069767442
134	915	1032	974	0.116009280742459
135	924	1041	982	0.115740740740741
136	933	1050	991	0.115473441108545
137	941	1058	1000	0.115207373271889
138	950	1067	1008	0.114810562571757
139	959	1076	1017	0.11454753722795
140	968	1084	1026	0.114285714285714
141	977	1093	1034	0.114025085518814
142	986	1102	1043	0.113636363636364
143	995	1111	1052	0.113378684807256
144	1004	1120	1061	0.113122171945701
145	1013	1128	1070	0.112739571589628
146	1022	1137	1079	0.112485939257593
147	1031	1146	1087	0.112233445566779
148	1040	1155	1096	0.111856823266219
149	1049	1164	1105	0.111607142857143
150	1058	1173	1114	0.111234705228031
151	1067	1182	1123	0.110987791342952
152	1077	1191	1132	0.110619469026549
153	1086	1200	1141	0.11037527593819
154	1095	1209	1150	0.11001100110011
155	1105	1218	1159	0.109769484083425
156	1114	1227	1169	0.109409190371991
157	1123	1236	1178	0.109170305676856
158	1133	1245	1187	0.108813928182807
159	1142	1254	1196	0.108459869848156
160	1152	1263	1205	0.108225108225108
161	1161	1273	1214	0.107874865156419
162	1171	1282	1224	0.10752688172043
163	1180	1291	1233	0.107296137339056
164	1190	1301	1242	0.106951871657754
165	1199	1310	1252	0.106609808102345
166	1209	1319	1261	0.106269925611052
167	1219	1328	1270	0.106044538706257
168	1229	1338	1280	0.105708245243129
169	1239	1347	1289	0.105374077976818
170	1248	1356	1299	0.105042016806723
171	1258	1365	1308	0.104712041884817
172	1268	1375	1318	0.104384133611691
173	1278	1384	1328	0.104058272632674
174	1288	1394	1337	0.103734439834025
175	1298	1403	1347	0.103412616339193
176	1308	1413	1356	0.103092783505155
177	1318	1422	1366	0.102774922918808
178	1328	1432	1376	0.102459016393443
179	1338	1441	1386	0.102145045965271
180	1348	1451	1395	0.10183299389002
181	1358	1460	1405	0.101522842639594
182	1368	1470	1415	0.101214574898785
183	1379	1480	1425	0.100908173562059
184	1389	1489	1435	0.100603621730382
185	1399	1499	1445	0.100200400801603
186	1409	1509	1455	0.0999000999000999
187	1420	1519	1465	0.099601593625498
188	1430	1528	1475	0.099304865938431
189	1440	1538	1485	0.0989119683481701
190	1451	1548	1495	0.0986193293885601
191	1461	1558	1505	0.0983284169124877
192	1471	1568	1515	0.0980392156862745
193	1482	1578	1526	0.09765625
194	1492	1588	1536	0.0973709834469328
195	1503	1598	1546	0.0969932104752667
196	1513	1608	1556	0.0967117988394584
197	1524	1618	1567	0.0963391136801541
198	1534	1629	1577	0.0960614793467819
199	1545	1639	1587	0.0957854406130268
200	1555	1650	1598	0.0954198473282443
201	1566	1660	1608	0.0950570342205323
202	1576	1671	1619	0.0947867298578199
203	1586	1682	1629	0.0944287063267233
204	1597	1693	1640	0.0941619585687382
205	1607	1704	1651	0.0938086303939962
206	1618	1715	1661	0.0935453695042096
207	1628	1726	1672	0.0931966449207828
208	1639	1737	1683	0.0928505106778087
209	1649	1749	1694	0.0925925925925926
210	1660	1760	1704	0.0922509225092251
211	1670	1771	1715	0.0919963201471941
212	1681	1783	1726	0.0916590284142988
213	1691	1794	1737	0.0914076782449726
214	1701	1806	1748	0.0911577028258888
215	1712	1817	1759	0.0908265213442325
216	1722	1829	1770	0.0905797101449275
217	1733	1840	1781	0.0903342366757001
218	1743	1852	1792	0.0900900900900901
219	1754	1864	1803	0.0897666068222621
220	1764	1876	1814	0.0895255147717099
221	1775	1888	1825	0.0892857142857143
222	1785	1900	1837	0.0890471950133571
223	1796	1912	1848	0.088809946714032
224	1807	1924	1859	0.0885739592559787
225	1817	1936	1870	0.088339222614841
226	1828	1948	1882	0.0881057268722467
227	1839	1960	1893	0.0878734622144112
228	1849	1973	1904	0.0876424189307625
229	1860	1985	1916	0.0874125874125874
230	1871	1997	1927	0.0871839581517001
231	1882	2009	1939	0.0869565217391304
232	1892	2022	1950	0.0868055555555556
233	1903	2034	1962	0.0865800865800866
234	1914	2046	1973	0.0863557858376511
235	1925	2059	1985	0.0861326442721792
236	1936	2071	1996	0.0859845227858985
237	1947	2084	2008	0.0857632933104631
238	1958	2096	2020	0.0856164383561644
239	1969	2109	2031	0.085397096498719
240	1980	2121	2043	0.0852514919011083
241	1992	2134	2055	0.0850340136054422
242	2003	2146	2067	0.0848896434634975
243	2014	2159	2078	0.0846740050804403
244	2025	2171	2090	0.084530853761623
245	2036	2184	2102	0.0843170320404722
246	2048	2196	2114	0.0841750841750842
247	2059	2209	2126	0.0840336134453781
248	2070	2222	2138	0.0838926174496644
249	2082	2234	2150	0.0836820083682008
250	2093	2247	2162	0.0835421888053467
251	2105	2259	2174	0.0834028356964137
252	2116	2272	2186	0.0832639467110741
253	2127	2284	2198	0.0831255195344971
254	2139	2297	2210	0.0829875518672199
255	2150	2310	2222	0.0828500414250207
256	2162	2322	2234	0.0827129859387924
257	2173	2335	2246	0.0825763831544178
258	2185	2348	2258	0.0824402308326463
259	2197	2361	2270	0.0823045267489712
260	2208	2373	2282	0.0821692686935086
261	2220	2386	2294	0.0820344544708778
262	2231	2399	2307	0.0819000819000819
263	2243	2411	2319	0.0818330605564648
264	2255	2424	2331	0.0816993464052288
265	2267	2437	2343	0.0815660685154976
266	2278	2449	2355	0.0814995925020375
267	2290	2462	2368	0.0813669650122051
268	2302	2475	2380	0.0812347684809098
269	2314	2488	2392	0.0811688311688312
270	2326	2500	2405	0.0810372771474878
271	2338	2513	2417	0.0809716599190283
272	2350	2526	2429	0.0808407437348424
273	2362	2538	2442	0.0807754442649435
274	2374	2551	2454	0.0806451612903226
275	2386	2564	2467	0.08058017727639
276	2398	2576	2479	0.0805152979066023
277	2410	2589	2491	0.0803858520900322
278	2422	2602	2504	0.0803212851405622
279	2434	2614	2516	0.0802568218298555
280	2447	2627	2529	0.0801924619085806
281	2459	2640	2541	0.0801282051282051
282	2471	2653	2554	0.08
283	2483	2665	2566	0.0799360511590727
284	2495	2678	2579	0.0798722044728434
285	2508	2691	2591	0.0798084596967279
286	2520	2704	2604	0.0797448165869219
287	2532	2717	2616	0.0796812749003984
288	2544	2729	2629	0.0796178343949045
289	2556	2742	2641	0.0795544948289578
290	2568	2755	2654	0.0794912559618442
291	2581	2768	2666	0.079428117553614
292	2593	2781	2679	0.0793650793650794
293	2605	2794	2692	0.0793021411578113
294	2618	2806	2704	0.0792393026941363
295	2630	2819	2717	0.0791765637371338
296	2642	2832	2730	0.0791139240506329
297	2655	2845	2742	0.0789889415481833
298	2667	2858	2755	0.0789265982636148
299	2680	2870	2768	0.0788643533123028
300	2692	2883	2780	0.0788022064617809
301	2705	2896	2793	0.078740157480315
302	2717	2909	2806	0.0786782061369001
303	2729	2922	2818	0.0786163522012579
304	2742	2934	2831	0.0785545954438335
305	2754	2947	2844	0.0784929356357928
306	2767	2960	2856	0.0783699059561129
307	2779	2972	2869	0.0783085356303837
308	2791	2985	2882	0.0782472613458529
309	2804	2998	2895	0.0781860828772479
310	2816	3011	2908	0.078125
311	2829	3024	2920	0.078064012490242
312	2841	3037	2933	0.078003120124805
313	2854	3050	2946	0.0778816199376947
314	2866	3062	2959	0.0778210116731518
315	2879	3075	2972	0.0777604976671851
316	2891	3088	2985	0.0777000777000777
317	2903	3100	2997	0.077639751552795
318	2916	3113	3010	0.0775193798449612
319	2929	3126	3023	0.0774593338497289
320	2941	3139	3036	0.0773993808049536
321	2953	3151	3049	0.0773395204949729
322	2966	3164	3062	0.0772797527047913
323	2979	3177	3075	0.0771604938271605
324	2991	3190	3088	0.0771010023130301
325	3004	3202	3101	0.0770416024653313
326	3016	3215	3114	0.0769822940723634
327	3029	3228	3127	0.0768639508070715
328	3041	3241	3140	0.0768049155145929
329	3054	3253	3153	0.0767459708365311
330	3066	3266	3166	0.0766871165644172
331	3079	3279	3179	0.0765696784073507
332	3091	3291	3192	0.0765110941086457
333	3104	3304	3205	0.0764525993883792
334	3117	3316	3218	0.0763941940412529
335	3129	3329	3231	0.07627765064836
336	3142	3342	3244	0.0762195121951219
337	3154	3355	3257	0.0761614623000762
338	3167	3368	3271	0.076103500761035
339	3179	3381	3284	0.0759878419452888
340	3192	3393	3297	0.0759301442672741
341	3205	3406	3310	0.0758725341426404
342	3218	3419	3323	0.0757575757575758
343	3231	3432	3336	0.0757002271006813
344	3243	3445	3350	0.075642965204236
345	3256	3457	3363	0.0755287009063444
346	3268	3470	3376	0.0754716981132075
347	3281	3483	3389	0.0754147812971342
348	3293	3496	3403	0.0753012048192771
349	3306	3508	3416	0.0752445447705041
350	3319	3521	3429	0.075187969924812
351.02	3331	3534	3443	0.0750750750750751
352.06	3344	3548	3457	0.0750187546886722
353.1	3358	3561	3470	0.0749063670411985
354.14	3371	3575	3484	0.0748502994011976
355.18	3384	3588	3498	0.074794315632012
356.22	3397	3602	3512	0.0746825989544436
357.26	3410	3616	3526	0.0746268656716418
358.3	3423	3629	3540	0.0745156482861401
359.34	3437	3643	3554	0.0744601638123604
360.38	3451	3656	3568	0.0744047619047619
361.42	3464	3670	3582	0.0742942050520059
362.46	3477	3684	3596	0.0742390497401633
363.5	3490	3698	3610	0.0741289844329133
364.54	3503	3712	3624	0.0740740740740741
365.58	3516	3726	3638	0.0739644970414201
366.62	3529	3740	3652	0.073909830007391
367.66	3542	3754	3666	0.0738007380073801
368.7	3556	3768	3680	0.0737463126843658
369.74	3570	3782	3694	0.0736377025036819
370.78	3583	3796	3708	0.0735835172921266
371.82	3596	3810	3723	0.0734753857457752
372.86	3610	3824	3737	0.0734214390602056
373.9	3623	3838	3751	0.0733137829912023
374.94	3637	3852	3765	0.0732600732600733
375.98	3651	3867	3779	0.0731528895391368
377.02	3664	3881	3794	0.0730460189919649
378.06	3677	3895	3808	0.072992700729927
379.1	3691	3909	3822	0.0728862973760933
380.14	3705	3923	3836	0.0727802037845706
381.18	3718	3937	3851	0.0727272727272727
382.22	3733	3952	3865	0.0726216412490922
383.26	3746	3966	3879	0.0725689404934688
384.3	3760	3980	3894	0.072463768115942
385.34	3773	3995	3908	0.0724112961622013
386.38	3787	4009	3922	0.0723065798987708
387.42	3801	4024	3937	0.0722543352601156
388.46	3815	4039	3951	0.0721500721500722
389.5	3829	4053	3965	0.0720461095100865
390.54	3843	4067	3980	0.0719942404607631
391.58	3857	4082	3994	0.0718907260963336
392.62	3871	4097	4009	0.0718390804597701
393.66	3886	4111	4023	0.0717360114777618
394.7	3900	4126	4038	0.0716332378223496
395.74	3914	4141	4052	0.0715307582260372
396.78	3928	4155	4067	0.0714285714285714
397.82	3942	4170	4081	0.0713266761768902
398.86	3957	4186	4096	0.0712250712250712
399.9	3971	4201	4111	0.0710732054015636
400.94	3985	4216	4125	0.0709219858156028
401.98	3999	4231	4140	0.0708215297450425
403.02	4014	4246	4155	0.0705716302046577
404.06	4028	4261	4169	0.0704225352112676
405.1	4043	4277	4184	0.0702247191011236
406.14	4057	4292	4199	0.0700770847932726
407.18	4072	4308	4214	0.0698812019566736
408.22	4087	4324	4229	0.0697350069735007
409.26	4101	4339	4244	0.0695410292072323
410.3	4116	4355	4259	0.0693000693000693
